,Independent Variable,Dependent Variable
0,-5.0,-7.5405331301766605
1,-4.9,-7.749487072515603
2,-4.800000000000001,-8.825946595323071
3,-4.700000000000001,-9.04896844442289
4,-4.600000000000001,-9.998027075252057
5,-4.500000000000002,-6.943001186291993
6,-4.400000000000002,-4.894717951746139
7,-4.3000000000000025,-4.567074205793682
8,-4.200000000000003,-5.794543425180318
9,-4.100000000000003,-6.242457391152811
10,-4.0000000000000036,-4.763235040917487
11,-3.900000000000004,-2.3063256489717996
12,-3.8000000000000043,-4.116711412722648
13,-3.7000000000000046,-2.8701683428118048
14,-3.600000000000005,-5.131560677571107
15,-3.5000000000000053,-3.8483164700174997
16,-3.4000000000000057,-1.7114434726705885
17,-3.300000000000006,-1.1886154361154713
18,-3.2000000000000064,-2.5911333801901346
19,-3.1000000000000068,-0.8380002202865922
20,-3.000000000000007,-3.605173338768048
21,-2.9000000000000075,-1.5911155948130362
22,-2.800000000000008,-1.391764254657519
23,-2.700000000000008,-3.533360755603866
24,-2.6000000000000085,-5.381930641322997
25,-2.500000000000009,-4.840535154371496
26,-2.4000000000000092,1.4845862284146087
27,-2.3000000000000096,-2.3105073871513238
28,-2.20000000000001,-3.266101870718695
29,-2.1000000000000103,-2.0162390496118845
30,-2.0000000000000107,-0.7962795331843362
31,-1.900000000000011,-0.09200508224939052
32,-1.8000000000000114,1.1454153522570363
33,-1.7000000000000117,-6.059557303152082
34,-1.600000000000012,-0.6066526346474448
35,-1.5000000000000124,-0.16304385297245375
36,-1.4000000000000128,2.405012340909812
37,-1.3000000000000131,1.3403648148582112
38,-1.2000000000000135,3.022707503122191
39,-1.1000000000000139,3.5440825019045783
40,-1.0000000000000142,0.7882702541771676
41,-0.9000000000000146,2.565167277329425
42,-0.8000000000000149,0.8918145379863475
43,-0.7000000000000153,3.409779658505567
44,-0.6000000000000156,0.08034291267455429
45,-0.500000000000016,-0.39236305061443355
46,-0.40000000000001634,3.341790815285121
47,-0.3000000000000167,4.331241884266948
48,-0.20000000000001705,-0.00046932357439066763
49,-0.10000000000001741,2.3998673903794354
50,-1.7763568394002505e-14,4.861840602149362
51,0.09999999999998188,2.0802039218770005
52,0.19999999999998153,2.088359771178971
53,0.29999999999998117,0.6430259943793573
54,0.3999999999999808,3.7320132119463643
55,0.49999999999998046,5.350425280816397
56,0.5999999999999801,3.695517124463534
57,0.6999999999999797,5.451493092977232
58,0.7999999999999794,6.025410163871721
59,0.899999999999979,5.5383183375046245
60,0.9999999999999787,7.719587158690884
61,1.0999999999999783,5.581946980802588
62,1.199999999999978,1.1002307347947182
63,1.2999999999999776,3.6816701310675546
64,1.3999999999999773,5.349252511115528
65,1.499999999999977,8.124640185910566
66,1.5999999999999766,6.696643858472274
67,1.6999999999999762,5.111051433556418
68,1.7999999999999758,6.522347787245977
69,1.8999999999999755,7.964557608280218
70,1.9999999999999751,2.6876927375282786
71,2.0999999999999748,5.659170805220511
72,2.1999999999999744,8.43014072360848
73,2.299999999999974,9.224902765948624
74,2.3999999999999737,7.28006405001375
75,2.4999999999999734,7.130245895174313
76,2.599999999999973,7.203483047736439
77,2.6999999999999726,7.427947552665698
78,2.7999999999999723,12.536263643415982
79,2.899999999999972,12.09231236230904
80,2.9999999999999716,6.08078126131951
81,3.0999999999999712,11.0031205398047
82,3.199999999999971,11.517679806104406
83,3.2999999999999705,11.193150785813177
84,3.39999999999997,9.67412460443158
85,3.49999999999997,10.805481507113715
86,3.5999999999999694,10.085912007426867
87,3.699999999999969,10.667086474839925
88,3.7999999999999687,7.406537152768987
89,3.8999999999999684,11.045849391497699
90,3.999999999999968,9.72346113298919
91,4.099999999999968,12.25092762244748
92,4.199999999999967,11.114016790856411
93,4.299999999999967,14.789529177162724
94,4.399999999999967,12.336843896874512
95,4.499999999999966,9.310048829535617
96,4.599999999999966,10.724459334922493
97,4.6999999999999655,12.61976340980581
98,4.799999999999965,13.920208190116416
99,4.899999999999965,11.55528231018982
